age,gender,job_type,daily_social_media_time,social_platform_preference,number_of_notifications,work_hours_per_day,perceived_productivity_score,actual_productivity_score,stress_level,sleep_hours,screen_time_before_sleep,breaks_during_work,uses_focus_apps,has_digital_wellbeing_enabled,coffee_consumption_per_day,days_feeling_burnout_per_month,weekly_offline_hours,job_satisfaction_score
41,Male,Student,2.7369229622558477,Twitter,47,10.042322376913956,3.884667115994925,3.716491230802466,2.0,5.154668929591594,,7,False,False,4,9,8.464906876663724,5.203937059240554
18,Female,Education,4.354794115003245,Twitter,63,7.832015830046989,3.7772626317534654,4.083900607385893,2.0,4.112486392233547,1.3939394352983216,4,False,True,2,15,0.3471776036556075,4.718659153101482
61,Female,Finance,0.0215554742296291,Twitter,70,7.098275058430501,8.523535513703784,7.461766453672394,,8.355123571133149,0.9513054017654786,7,False,False,0,2,7.360996344858572,7.661079770962543
39,Male,IT,2.9278708289688247,TikTok,55,11.538476205082484,7.745036160804426,7.06072619987395,2.0,7.348517287475996,0.0,6,False,False,2,28,0.4193236258867809,7.973346031229428
49,Female,Unemployed,6.604684851338964,Twitter,70,5.11474664300968,6.017107679137308,5.775010732665694,2.0,4.720262774314998,1.0708409965581525,3,False,True,4,2,11.463486166048666,4.853873532512097
33,Male,Unemployed,2.477360954971568,TikTok,57,9.594832941476412,4.5337653228602175,4.264809820589158,,3.866818789462534,0.0,8,True,True,1,14,16.772955765019383,4.844524944199631
34,Male,IT,4.885773611063838,Telegram,55,5.348904600831708,3.11595334370511,3.176611330452263,8.0,7.249132461237817,0.8273098202603915,4,True,True,3,3,7.111781477877345,3.079301838433271
48,Female,Education,3.705690807772811,TikTok,58,6.085882419008008,3.204262067026842,2.8452703603463787,4.0,5.565566025513639,0.8409113751748198,2,True,False,2,28,3.7649671224601793,2.541533364152958
36,Female,Education,3.785813705602126,Instagram,73,8.175642142130817,6.508569939936761,,10.0,5.455140064122874,0.3667036530793347,4,False,False,1,14,0.0,6.5818009689506685
19,Male,IT,4.378786097866863,Twitter,63,5.622668250371493,7.705889488891275,,8.0,7.702608262952201,1.263787122915507,7,True,True,1,0,0.0770493248742827,7.966941881507415
53,Female,Student,6.174837257848912,Telegram,67,5.117891291029931,3.2733071220367527,3.4134774743787943,1.0,5.121625190910586,0.5316246027033831,0,True,False,3,31,3.274162624836392,4.533138041013976
61,Female,Finance,4.101255589090838,Facebook,57,8.880427814856468,5.014715728634039,4.720823593981345,4.0,10.0,,8,False,False,1,6,5.550589294627445,5.341981781958589
